4.1745,2.1245,1.8144
4.1556,2.1447,1.8101
4.1285,2.1488,1.8179
4.0367,2.1402,1.8196
5.8186,2.1374,1.8212
6.1605,2.1323,1.8175
5.8031,2.1310,1.8139
5.5627,2.1334,1.8147
5.3820,2.1302,1.8099
5.2381,2.1318,1.8115
5.1201,2.1269,1.8100
5.0200,2.1251,1.8085
4.9337,2.1248,1.8049
4.8579,2.1250,1.8040
4.7901,2.1214,1.8018
4.7281,2.1215,1.8004
4.6708,2.1189,1.7989
4.6179,2.1185,1.7974
4.5697,2.1176,1.7943
4.5233,2.1177,1.7928
4.4797,2.1162,1.7925
4.4365,2.1149,1.7904
4.3950,2.1123,1.7879
4.3540,2.1110,1.7863
4.3150,2.1098,1.7859
4.2759,2.1095,1.7861
4.2388,2.1089,1.7859
4.2006,2.1086,1.7859
4.1638,2.1064,1.7858
4.1321,2.1044,1.7849
4.1016,2.1042,1.7837
4.0713,2.1026,1.7818
4.0412,2.1014,1.7805
4.0123,2.1007,1.7808
3.9852,2.0998,1.7806
3.9590,2.0980,1.7788
3.9340,2.0960,1.7783
3.9103,2.0949,1.7784
3.8862,2.0941,1.7780
3.8637,2.0925,1.7775
3.8418,2.0908,1.7761
3.8205,2.0896,1.7756
3.7992,2.0879,1.7747
3.7789,2.0867,1.7728
3.7595,2.0857,1.7719
3.7409,2.0848,1.7700
3.6857,2.0834,1.7697
3.6343,2.0824,1.7688
3.6016,2.0818,1.7686
3.5546,2.0806,1.7681
3.5396,2.0793,1.7674
3.5250,2.0781,1.7667
3.5105,2.0765,1.7662
3.4963,2.0756,1.7660
3.4824,2.0753,1.7652
3.4682,2.0744,1.7641
3.4546,2.0731,1.7633
3.4408,2.0719,1.7618
3.4283,2.0711,1.7612
3.4151,2.0698,1.7608
3.4021,2.0685,1.7599
3.3898,2.0674,1.7588
3.3775,2.0665,1.7586
3.3655,2.0661,1.7579
3.3543,2.0652,1.7572
3.3425,2.0639,1.7563
3.3311,2.0627,1.7556
3.3197,2.0612,1.7548
3.3085,2.0604,1.7542
3.2975,2.0593,1.7534
3.2865,2.0583,1.7526
3.2760,2.0575,1.7525
3.2657,2.0564,1.7518
3.2553,2.0550,1.7511
3.2453,2.0535,1.7504
3.2356,2.0524,1.7500
3.2258,2.0514,1.7492
3.2169,2.0503,1.7483
3.2080,2.0491,1.7481
3.1993,2.0485,1.7476
3.1904,2.0472,1.7470
3.1816,2.0462,1.7469
3.1730,2.0457,1.7458
3.1646,2.0449,1.7453
3.1562,2.0443,1.7444
3.1479,2.0430,1.7441
3.1399,2.0421,1.7441
3.1317,2.0411,1.7433
3.1235,2.0397,1.7427
3.1157,2.0386,1.7420
3.1080,2.0376,1.7412
3.1007,2.0365,1.7406
3.0933,2.0358,1.7404
3.0861,2.0348,1.7402
3.0790,2.0332,1.7397
3.0719,2.0320,1.7396
3.0646,2.0309,1.7390
3.0578,2.0297,1.7386
3.0513,2.0286,1.7389
3.0447,2.0277,1.7382
3.0381,2.0271,1.7378
3.0318,2.0261,1.7375
3.0251,2.0251,1.7373
3.0186,2.0243,1.7370
3.0124,2.0231,1.7365
3.0063,2.0222,1.7360
3.0003,2.0213,1.7352
2.9945,2.0202,1.7350
2.9883,2.0191,1.7345
2.9826,2.0179,1.7339
2.9767,2.0171,1.7338
2.9710,2.0163,1.7334
2.9653,2.0155,1.7334
2.9598,2.0145,1.7330
2.9540,2.0135,1.7327
2.9489,2.0126,1.7321
2.9435,2.0113,1.7313
2.9381,2.0101,1.7309
2.9329,2.0094,1.7306
2.9275,2.0085,1.7299
2.9222,2.0072,1.7291
2.9167,2.0063,1.7286
2.9117,2.0055,1.7275
2.9068,2.0041,1.7269
2.9020,2.0031,1.7264
2.8968,2.0019,1.7257
2.8919,2.0012,1.7250
2.8870,2.0002,1.7242
2.8823,1.9991,1.7239
2.8777,1.9983,1.7231
2.8731,1.9974,1.7227
2.8684,1.9968,1.7223
2.8637,1.9959,1.7215
2.8593,1.9950,1.7212
2.8548,1.9941,1.7210
2.8505,1.9932,1.7208
2.8462,1.9923,1.7201
2.8420,1.9913,1.7197
2.8376,1.9906,1.7191
2.8334,1.9895,1.7180
2.8292,1.9884,1.7176
2.8251,1.9873,1.7170
2.8207,1.9863,1.7163
2.8165,1.9854,1.7156
2.8126,1.9843,1.7152
2.8086,1.9834,1.7146
2.8045,1.9826,1.7141
2.8005,1.9813,1.7137
2.7965,1.9801,1.7132
2.7926,1.9795,1.7126
2.7887,1.9785,1.7121
2.7847,1.9776,1.7117
2.7811,1.9769,1.7114
2.7773,1.9759,1.7108
2.7734,1.9752,1.7104
2.7699,1.9744,1.7100
2.7662,1.9736,1.7095
2.7625,1.9725,1.7093
2.7588,1.9714,1.7086
2.7552,1.9702,1.7082
2.7517,1.9693,1.7079
2.7481,1.9687,1.7071
2.7445,1.9679,1.7068
2.7411,1.9670,1.7062
2.7376,1.9662,1.7055
2.7340,1.9655,1.7051
2.7309,1.9644,1.7050
,1.9637,1.7048
,1.9626,1.7041
,1.9614,1.7036
,1.9606,1.7032
,1.9597,1.7025
,1.9589,1.7017
,1.9582,1.7013
